 	Track n¡	Slice n¡	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	39.000	58.000	-1.000	-1.000	6.000
2	1.000	2.000	46.000	57.000	1.690	0.845	0.000
3	1.000	3.000	51.000	54.000	1.394	0.697	0.000
4	1.000	4.000	61.000	56.000	2.437	1.219	0.000
5	1.000	5.000	75.000	55.000	3.355	1.677	0.000
6	1.000	6.000	88.000	55.000	3.107	1.553	38.000
7	1.000	7.000	89.000	56.000	0.338	0.169	1.000
8	1.000	8.000	92.000	56.000	0.717	0.358	122.000
9	1.000	9.000	110.000	55.000	4.309	2.154	218.000
10	1.000	10.000	119.000	55.000	2.151	1.076	210.000
11	1.000	11.000	143.000	57.000	5.756	2.878	27.000
12	1.000	12.000	147.000	54.000	1.195	0.597	313.000
13	1.000	13.000	161.000	56.000	3.380	1.690	0.000
14	1.000	14.000	180.000	56.000	4.541	2.270	42.000
15	1.000	15.000	192.000	54.000	2.908	1.454	218.000
16	1.000	16.000	208.000	56.000	3.854	1.927	0.000
17	1.000	17.000	215.000	55.000	1.690	0.845	155.000
18	1.000	18.000	227.000	55.000	2.868	1.434	336.000
19	1.000	19.000	240.000	55.000	3.107	1.553	109.000
20	1.000	20.000	252.000	55.000	2.868	1.434	96.000
21	1.000	21.000	254.000	53.000	0.676	0.338	433.000
22	1.000	22.000	268.000	54.000	3.355	1.677	0.000
23	1.000	23.000	281.000	54.000	3.107	1.553	23.000
24	1.000	24.000	286.000	53.000	1.219	0.609	62.000
25	1.000	25.000	295.000	55.000	2.203	1.102	122.000
26	1.000	26.000	305.000	55.000	2.390	1.195	0.000
27	1.000	27.000	328.000	55.000	5.497	2.748	0.000
28	1.000	28.000	346.000	54.000	4.309	2.154	26.000
29	1.000	29.000	363.000	54.000	4.063	2.032	108.000
30	1.000	30.000	374.000	54.000	2.629	1.314	158.000
31	1.000	31.000	375.000	55.000	0.338	0.169	24.000
32	1.000	32.000	371.000	55.000	0.956	0.478	200.000
33	2.000	1.000	2.000	60.000	-1.000	-1.000	0.000
34	2.000	2.000	12.000	62.000	2.437	1.219	124.000
35	2.000	3.000	26.000	61.000	3.355	1.677	1.000
36	2.000	4.000	26.000	61.000	0.000	0.000	170.000
37	2.000	5.000	31.000	60.000	1.219	0.609	0.000
38	2.000	6.000	31.000	60.000	0.000	0.000	0.000
39	2.000	7.000	35.000	59.000	0.985	0.493	0.000
40	2.000	8.000	35.000	59.000	0.000	0.000	110.000
41	2.000	9.000	42.000	58.000	1.690	0.845	274.000
42	2.000	10.000	42.000	58.000	0.000	0.000	61.000
43	2.000	11.000	44.000	57.000	0.534	0.267	488.000
44	2.000	12.000	44.000	57.000	0.000	0.000	197.000
45	2.000	13.000	47.000	57.000	0.717	0.358	46.000
46	2.000	14.000	54.000	57.000	1.673	0.836	25.000
47	2.000	15.000	62.000	56.000	1.927	0.963	0.000
48	2.000	16.000	65.000	56.000	0.717	0.358	123.000
49	2.000	17.000	61.000	56.000	0.956	0.478	261.000
50	2.000	18.000	68.000	56.000	1.673	0.836	86.000
51	2.000	19.000	71.000	55.000	0.756	0.378	137.000
52	2.000	20.000	74.000	56.000	0.756	0.378	41.000
53	2.000	21.000	88.000	56.000	3.346	1.673	78.000
54	2.000	22.000	96.000	56.000	1.912	0.956	119.000
55	2.000	23.000	103.000	57.000	1.690	0.845	214.000
56	2.000	24.000	110.000	57.000	1.673	0.836	247.000
57	2.000	25.000	115.000	58.000	1.219	0.609	69.000
58	2.000	26.000	115.000	58.000	0.000	0.000	0.000
59	2.000	27.000	121.000	57.000	1.454	0.727	349.000
60	2.000	28.000	143.000	57.000	5.258	2.629	189.000
61	2.000	29.000	157.000	57.000	3.346	1.673	21.000
62	2.000	30.000	182.000	57.000	5.975	2.988	0.000
63	2.000	31.000	195.000	56.000	3.116	1.558	0.000
64	2.000	32.000	211.000	56.000	3.824	1.912	128.000
65	2.000	33.000	219.000	55.000	1.927	0.963	323.000
66	2.000	34.000	225.000	57.000	1.512	0.756	11.000
67	2.000	35.000	241.000	55.000	3.854	1.927	0.000
68	2.000	36.000	244.000	55.000	0.717	0.358	209.000
69	2.000	37.000	251.000	57.000	1.740	0.870	0.000
70	2.000	38.000	257.000	57.000	1.434	0.717	218.000
71	2.000	39.000	265.000	55.000	1.971	0.985	117.000
72	2.000	40.000	272.000	55.000	1.673	0.836	206.000
73	2.000	41.000	272.000	55.000	0.000	0.000	0.000
74	2.000	42.000	267.000	56.000	1.219	0.609	0.000
75	2.000	43.000	262.000	55.000	1.219	0.609	220.000
